token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
14008,AVTNPL,AVTNPL,,-1.000000,1,,NSE,1.000000
14106,AUTOIND,AUTOIND,,-1.000000,1,,NSE,1.000000
1424,HINDZINC,HINDZINC,,-1.000000,1,,NSE,5.000000
14243,HSM250INAV,HSM250INAV,,-1.000000,1,,NSE,1.000000
14304,FSL,FSL,,-1.000000,1,,NSE,1.000000
14319,TFL,TFL,,-1.000000,1,,NSE,1.000000
14329,SMSPHARMA,SMSPHARMA,,-1.000000,1,,NSE,5.000000
14339,GANESHHOU,GANESHHOU,,-1.000000,1,,NSE,5.000000
14440,NAHARSPING,NAHARSPING,,-1.000000,1,,NSE,1.000000
14761,NELCAST,NELCAST,,-1.000000,1,,NSE,1.000000
14784,161NSETEST,161NSETEST,,-1.000000,1,,NSE,5.000000
1491,IFCI,IFCI,,-1.000000,1,,NSE,1.000000
14908,KDDL,KDDL,,-1.000000,1,,NSE,10.000000
14947,MOTILALOFS,MOTILALOFS,,-1.000000,1,,NSE,5.000000
14953,MAG813INAV,MAG813INAV,,-1.000000,1,,NSE,1.000000
14957,MAGNUM,MAGNUM,,-1.000000,1,,NSE,1.000000
15136,KAUSHALYA,KAUSHALYA,,-1.000000,1,,NSE,5.000000
15157,RHL,RHL,,-1.000000,1,,NSE,1.000000
15204,ARIES,ARIES,,-1.000000,1,,NSE,5.000000
15239,BIRLAMONEY,BIRLAMONEY,,-1.000000,1,,NSE,1.000000
15259,RPOWER,RPOWER,,-1.000000,1,,NSE,1.000000
15295,VIRINCHI,VIRINCHI,,-1.000000,1,,NSE,1.000000
15360,NAHARCAP,NAHARCAP,,-1.000000,1,,NSE,1.000000
15391,RACE,RACE,,-1.000000,1,,NSE,1.000000
1576,GILLETTE,GILLETTE,,-1.000000,1,,NSE,50.000000
1581,TARC,TARC,,-1.000000,1,,NSE,1.000000
1624,IOC,IOC,,-1.000000,1,,NSE,1.000000
16657,ANIKINDS,ANIKINDS,,-1.000000,1,,NSE,1.000000
16819,QNIFTY,QNIFTY,,-1.000000,1,,NSE,1.000000
16863,LPDC,LPDC,,-1.000000,1,,NSE,1.000000
17022,MAWANASUG,MAWANASUG,,-1.000000,1,,NSE,1.000000
17186,SHRIPISTON,SHRIPISTON,,-1.000000,1,,NSE,10.000000
17271,SENCO,SENCO,,-1.000000,1,,NSE,5.000000
17313,LLOYDSME,LLOYDSME,,-1.000000,1,,NSE,10.000000
17433,NETWEB,NETWEB,,-1.000000,1,,NSE,10.000000
